Country,Year,Production,Type,Region
Papua New Guinea,2021/22,725,Arabica,Oceania
Papua New Guinea,2022/23,825,Arabica,Oceania
Papua New Guinea,2023/24,930,Arabica,Oceania
Papua New Guinea,2024/25,800,Arabica,Oceania
Papua New Guinea,2025/26,900,Arabica,Oceania
Paraguay,2021/22,0,Arabica,South America
Paraguay,2022/23,0,Arabica,South America
Paraguay,2023/24,0,Arabica,South America
Paraguay,2024/25,0,Arabica,South America
Paraguay,2025/26,0,Arabica,South America
Peru,2021/22,4200,Arabica,South America
Peru,2022/23,3475,Arabica,South America
Peru,2023/24,3912,Arabica,South America
Peru,2024/25,3700,Arabica,South America
Peru,2025/26,4200,Arabica,South America
Philippines,2021/22,25,Arabica,Asia
Philippines,2022/23,25,Arabica,Asia
Philippines,2023/24,25,Arabica,Asia
Philippines,2024/25,25,Arabica,Asia
Philippines,2025/26,25,Arabica,Asia
Russia,2021/22,0,Arabica,Europe
Russia,2022/23,0,Arabica,Europe
Russia,2023/24,0,Arabica,Europe
Russia,2024/25,0,Arabica,Europe
Russia,2025/26,0,Arabica,Europe
Rwanda,2021/22,270,Arabica,Africa
Rwanda,2022/23,275,Arabica,Africa
Rwanda,2023/24,360,Arabica,Africa
Rwanda,2024/25,300,Arabica,Africa
Rwanda,2025/26,350,Arabica,Africa
Saudi Arabia,2021/22,0,Arabica,Asia
Saudi Arabia,2022/23,0,Arabica,Asia
Saudi Arabia,2023/24,0,Arabica,Asia
Saudi Arabia,2024/25,0,Arabica,Asia
Saudi Arabia,2025/26,0,Arabica,Asia
Senegal,2021/22,0,Arabica,Africa
Senegal,2022/23,0,Arabica,Africa
Senegal,2023/24,0,Arabica,Africa
Senegal,2024/25,0,Arabica,Africa
Senegal,2025/26,0,Arabica,Africa
Serbia,2021/22,0,Arabica,Europe
Serbia,2022/23,0,Arabica,Europe
Serbia,2023/24,0,Arabica,Europe
Serbia,2024/25,0,Arabica,Europe
Serbia,2025/26,0,Arabica,Europe
Sierra Leone,2021/22,0,Arabica,Africa
Sierra Leone,2022/23,0,Arabica,Africa
Sierra Leone,2023/24,0,Arabica,Africa
Sierra Leone,2024/25,0,Arabica,Africa
Sierra Leone,2025/26,0,Arabica,Africa
Singapore,2021/22,0,Arabica,Asia
Singapore,2022/23,0,Arabica,Asia
Singapore,2023/24,0,Arabica,Asia
Singapore,2024/25,0,Arabica,Asia
Singapore,2025/26,0,Arabica,Asia
South Africa,2021/22,0,Arabica,Africa
South Africa,2022/23,0,Arabica,Africa
South Africa,2023/24,0,Arabica,Africa
South Africa,2024/25,0,Arabica,Africa
South Africa,2025/26,0,Arabica,Africa
Sri Lanka,2021/22,0,Arabica,Asia
Sri Lanka,2022/23,0,Arabica,Asia
Sri Lanka,2023/24,0,Arabica,Asia
Sri Lanka,2024/25,0,Arabica,Asia
Sri Lanka,2025/26,0,Arabica,Asia
Switzerland,2021/22,0,Arabica,Europe
Switzerland,2022/23,0,Arabica,Europe
Switzerland,2023/24,0,Arabica,Europe
Switzerland,2024/25,0,Arabica,Europe
Switzerland,2025/26,0,Arabica,Europe
Taiwan,2021/22,0,Arabica,Asia
Taiwan,2022/23,0,Arabica,Asia
Taiwan,2023/24,0,Arabica,Asia
Taiwan,2024/25,0,Arabica,Asia
Taiwan,2025/26,0,Arabica,Asia
Tanzania,2021/22,650,Arabica,Africa
Tanzania,2022/23,650,Arabica,Africa
Tanzania,2023/24,750,Arabica,Africa
Tanzania,2024/25,700,Arabica,Africa
Tanzania,2025/26,750,Arabica,Africa
Thailand,2021/22,0,Arabica,Asia
Thailand,2022/23,0,Arabica,Asia
Thailand,2023/24,0,Arabica,Asia
Thailand,2024/25,0,Arabica,Asia
Thailand,2025/26,0,Arabica,Asia
Togo,2021/22,0,Arabica,Africa
Togo,2022/23,0,Arabica,Africa
Togo,2023/24,0,Arabica,Africa
Togo,2024/25,0,Arabica,Africa
Togo,2025/26,0,Arabica,Africa
Trinidad and Tobago,2021/22,0,Arabica,North America
Trinidad and Tobago,2022/23,0,Arabica,North America
Trinidad and Tobago,2023/24,0,Arabica,North America
Trinidad and Tobago,2024/25,0,Arabica,North America
Trinidad and Tobago,2025/26,0,Arabica,North America
Turkey,2021/22,0,Arabica,Asia
Turkey,2022/23,0,Arabica,Asia
Turkey,2023/24,0,Arabica,Asia
Turkey,2024/25,0,Arabica,Asia
Turkey,2025/26,0,Arabica,Asia
Uganda,2021/22,990,Arabica,Africa
Uganda,2022/23,990,Arabica,Africa
Uganda,2023/24,1000,Arabica,Africa
Uganda,2024/25,1030,Arabica,Africa
Uganda,2025/26,1060,Arabica,Africa
Ukraine,2021/22,0,Arabica,Europe
Ukraine,2022/23,0,Arabica,Europe
Ukraine,2023/24,0,Arabica,Europe
Ukraine,2024/25,0,Arabica,Europe
Ukraine,2025/26,0,Arabica,Europe
United Kingdom,2021/22,0,Arabica,Europe
United Kingdom,2022/23,0,Arabica,Europe
United Kingdom,2023/24,0,Arabica,Europe
United Kingdom,2024/25,0,Arabica,Europe
United Kingdom,2025/26,0,Arabica,Europe
United States,2021/22,38,Arabica,North America
United States,2022/23,40,Arabica,North America
United States,2023/24,50,Arabica,North America
United States,2024/25,50,Arabica,North America
United States,2025/26,50,Arabica,North America
Uruguay,2021/22,0,Arabica,South America
Uruguay,2022/23,0,Arabica,South America
Uruguay,2023/24,0,Arabica,South America
Uruguay,2024/25,0,Arabica,South America
Uruguay,2025/26,0,Arabica,South America
Venezuela,2021/22,500,Arabica,South America
Venezuela,2022/23,500,Arabica,South America
Venezuela,2023/24,500,Arabica,South America
Venezuela,2024/25,500,Arabica,South America
Venezuela,2025/26,500,Arabica,South America
Vietnam,2021/22,1100,Arabica,Asia
Vietnam,2022/23,1000,Arabica,Asia
Vietnam,2023/24,1000,Arabica,Asia
Vietnam,2024/25,1000,Arabica,Asia
Vietnam,2025/26,1200,Arabica,Asia
Yemen,2021/22,0,Arabica,Asia
Yemen,2022/23,0,Arabica,Asia
Yemen,2023/24,0,Arabica,Asia
Yemen,2024/25,0,Arabica,Asia
Yemen,2025/26,0,Arabica,Asia
Zambia,2021/22,0,Arabica,Africa
Zambia,2022/23,0,Arabica,Africa
Zambia,2023/24,0,Arabica,Africa
Zambia,2024/25,0,Arabica,Africa
Zambia,2025/26,0,Arabica,Africa
Zimbabwe,2021/22,0,Arabica,Africa
Zimbabwe,2022/23,0,Arabica,Africa
Zimbabwe,2023/24,0,Arabica,Africa
Zimbabwe,2024/25,0,Arabica,Africa
Zimbabwe,2025/26,0,Arabica,Africa
