Country,Year,Consumption,Consumption Rate
Uzbekistan,2022,24000,0.7
Uzbekistan,2023,34000,0.97
Vanuatu,2019,1000,3.74
Vanuatu,2020,1000,2.45
Vanuatu,2021,1000,2.85
Vanuatu,2022,2000,4.67
Vanuatu,2023,1000,4.35
Venezuela,2019,55000,1.9
Venezuela,2020,57000,2
Venezuela,2021,54000,1.92
Venezuela,2022,50000,1.76
Venezuela,2023,59000,2.09
Vietnam,2019,13000,0.14
Vietnam,2020,482000,4.99
Vietnam,2021,293000,3.01
Vietnam,2022,336000,3.42
Vietnam,2023,387000,3.86
Yemen,2019,18000,0.58
Yemen,2020,20000,0.63
Yemen,2021,39000,1.18
Yemen,2022,36000,1.06
Yemen,2023,29000,0.73
Zambia,2019,4000,0.22
Zambia,2020,5000,0.28
Zambia,2021,2000,0.13
Zambia,2022,2000,0.1
Zambia,2023,1000,0.06
Zimbabwe,2019,1000,0.07
Zimbabwe,2020,1000,0.08
Zimbabwe,2021,2000,0.15
Zimbabwe,2022,2000,0.1
Zimbabwe,2023,2000,0.13
