Country,Year,Consumption,Consumption Rate
Costa Rica,2020,26000,5.01
Costa Rica,2021,23000,4.38
Costa Rica,2022,27000,5.19
Costa Rica,2023,31000,6.1
Croatia,2019,36000,8.69
Croatia,2020,35000,8.58
Croatia,2021,37000,9.12
Croatia,2022,35000,8.79
Croatia,2023,36000,9.16
Cuba,2019,10000,0.89
Cuba,2020,10000,0.87
Cuba,2021,13000,1.12
Cuba,2022,9000,0.84
Cuba,2023,,
Cyprus,2019,17000,14.16
Cyprus,2020,14000,11.71
Cyprus,2021,18000,14.42
Cyprus,2022,12000,9.56
Cyprus,2023,16000,12.05
Czechia,2019,23000,2.14
Czechia,2020,24000,2.3
Czechia,2021,21000,1.96
Czechia,2022,23000,2.21
Czechia,2023,21000,1.95
DR Congo,2019,2000,0.02
DR Congo,2020,41000,0.44
DR Congo,2021,44000,0.46
DR Congo,2022,50000,0.5
DR Congo,2023,56000,0.53
Denmark,2019,71000,12.28
Denmark,2020,66000,11.31
Denmark,2021,73000,12.45
Denmark,2022,78000,13.21
Denmark,2023,69000,11.68
Djibouti,2019,,
Djibouti,2020,,
Djibouti,2021,,
Djibouti,2022,,
Djibouti,2023,,0.31
Dominica,2019,,2.85
Dominica,2020,,3.31
Dominica,2021,1000,12.38
Dominica,2022,1000,10.88
Dominica,2023,,
Dominican Republic,2019,24000,2.22
Dominican Republic,2020,24000,2.22
Dominican Republic,2021,29000,2.62
Dominican Republic,2022,32000,2.89
Dominican Republic,2023,41000,3.63
Ecuador,2019,,0.01
Ecuador,2020,,0.01
Ecuador,2021,,0.01
Ecuador,2022,,0.02
Ecuador,2023,1000,0.03
Egypt,2019,66000,0.63
Egypt,2020,61000,0.57
Egypt,2021,62000,0.57
Egypt,2022,57000,0.52
Egypt,2023,63000,0.55
El Salvador,2019,15000,2.31
El Salvador,2020,19000,2.96
El Salvador,2021,21000,3.31
El Salvador,2022,19000,3.07
El Salvador,2023,16000,2.5
Estonia,2019,22000,16.75
Estonia,2020,22000,16.78
Estonia,2021,22000,16.91
Estonia,2022,23000,17.51
Estonia,2023,21000,15.68
Eswatini,2019,1000,0.61
Eswatini,2020,1000,0.74
Eswatini,2021,1000,0.74
Eswatini,2022,1000,0.76
Eswatini,2023,1000,0.71
Ethiopia,2019,215000,1.88
Ethiopia,2020,320000,2.73
Ethiopia,2021,220000,1.83
Ethiopia,2022,200000,1.62
Ethiopia,2023,295000,2.3
Fiji,2019,1000,1.37
Fiji,2020,25000,27.56
Fiji,2021,16000,16.84
Fiji,2022,12000,12.72
Fiji,2023,7000,7.73
Finland,2019,89000,16.05
Finland,2020,72000,12.99
Finland,2021,62000,11.11
Finland,2022,65000,11.72
Finland,2023,60000,10.76
France,2019,382000,5.93
France,2020,350000,5.43
France,2021,385000,5.97
France,2022,346000,5.35
France,2023,346000,5.21
French Polynesia,2019,3000,8.51
French Polynesia,2020,3000,10.27
French Polynesia,2021,4000,13.1
French Polynesia,2022,3000,9.26
French Polynesia,2023,4000,12.89
Gabon,2019,1000,0.66
Gabon,2020,1000,0.62
Gabon,2021,2000,0.66
Gabon,2022,2000,1
Gabon,2023,2000,0.94
Gambia,2019,,0.19
Gambia,2020,1000,0.3
Gambia,2021,1000,0.29
Gambia,2022,2000,0.63
Gambia,2023,2000,0.57
Georgia,2019,38000,9.98
Georgia,2020,37000,9.71
Georgia,2021,39000,10.37
Georgia,2022,41000,10.89
Georgia,2023,48000,12.52
Germany,2019,525000,6.31
